trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
215.0,2.6472244262695312,1.0,1.0,,,,1.0,2.0,1,5,1015.0,2022.0,1.0,1.0,1.0,1.0,1.0,4.4687034606933596,Different,Different,correct
216.0,3.6245224475860596,1.0,0.0,,,,1.0,3.0,1,1,1011.0,3018.0,1.0,2.0,0.0,0.0,0.0,4.578491139411926,Different,Same,correct
217.0,3.5673646926879883,1.0,0.0,,,,1.0,2.0,1,5,1019.0,2025.0,2.0,1.0,0.0,0.0,0.0,4.796018314361572,Different,Different,correct
218.0,4.177436351776123,1.0,5.0,,,,4.0,3.0,5,5,4024.0,3027.0,4.0,1.0,1.0,5.0,5.0,3.048408937454224,Different,Same,correct
219.0,8.85429334640503,0.0,0.0,,,,4.0,4.0,1,5,4018.0,4029.0,4.0,2.0,1.0,5.0,5.0,3.721101498603821,Same,Different,same category
220.0,2.7344350814819336,1.0,1.0,,,,2.0,1.0,1,1,2017.0,1019.0,2.0,1.0,1.0,1.0,1.0,3.6878581762313845,Different,Same,correct
221.0,2.1184563636779785,1.0,1.0,,,,3.0,1.0,1,1,3012.0,1019.0,1.0,2.0,1.0,1.0,1.0,3.4951710939407348,Different,Same,correct
222.0,5.275683403015137,0.0,5.0,,,,3.0,1.0,1,5,3014.0,1021.0,3.0,1.0,1.0,1.0,1.0,3.630766582489014,Different,Different,other error
223.0,2.1073522567749023,1.0,1.0,,,,4.0,3.0,1,1,4016.0,3018.0,4.0,1.0,1.0,1.0,1.0,3.7119429111480713,Different,Same,correct
224.0,2.433481454849243,0.0,5.0,,,,1.0,3.0,1,5,1012.0,3028.0,3.0,1.0,0.0,0.0,0.0,3.7540249824523926,Different,Different,swap error
225.0,3.2900240421295166,1.0,0.0,,,,1.0,4.0,5,5,1024.0,4029.0,1.0,2.0,0.0,0.0,0.0,3.818304944038391,Different,Same,correct
226.0,2.0022501945495605,1.0,1.0,,,,3.0,4.0,5,1,3023.0,4011.0,4.0,2.0,1.0,1.0,1.0,3.6560777187347413,Different,Different,correct
227.0,3.044853687286377,1.0,0.0,,,,4.0,3.0,5,1,4023.0,3013.0,4.0,2.0,0.0,0.0,0.0,3.60382661819458,Different,Different,correct
228.0,2.6541647911071777,1.0,1.0,,,,1.0,1.0,1,1,1015.0,1019.0,1.0,2.0,1.0,1.0,1.0,3.4514994621276855,Same,Same,correct
229.0,4.143963575363159,1.0,0.0,,,,3.0,3.0,5,1,3026.0,3018.0,2.0,2.0,0.0,0.0,0.0,2.9804664850234985,Same,Different,correct
230.0,18.566023349761963,1.0,1.0,,,,2.0,2.0,1,1,2019.0,2012.0,2.0,1.0,1.0,1.0,1.0,4.563625311851501,Same,Same,correct
